"","value"
"1","891399"
"2","902172"
"3","328314"
"4","982095"
"5","946119"
"6","916311"
"7","916695"
"8","905270"
"9","916328"
"10","545101"
"11","921795"
"12","933185"
"13","904261"
"14","777953"
"15","906187"
"16","130775"
"17","905261"
"18","936365"
"19","749382"
"20","906820"
"21","945388"
"22","905271"
"23","756210"
"24","921725"
"25","325364"
"26","923024"
"27","891631"
"28","921794"
"29","87851X"
"30","883969"
"31","902199"
"32","292038"
"33","689592"
"34","902355"
"35","894371"
"36","14352P"
"37","912215"
"38","322677"
"39","255956"
"40","729473"
"41","929813"
"42","906191"
"43","325596"
"44","277642"
"45","134058"
"46","938692"
"47","905113"
"48","777343"
"49","357699"
"50","921246"
"51","905802"
"52","923116"
"53","906156"
"54","670134"
"55","277355"
"56","952192"
"57","905425"
"58","902280"
"59","912145"
"60","916305"
"61","745176"
"62","541863"
"63","905339"
"64","905276"
"65","873087"
"66","951022"
"67","741076"
"68","545691"
"69","29920H"
"70","906190"
"71","982852"
"72","93045D"
"73","904853"
"74","981550"
"75","921983"
"76","952203"
"77","874830"
"78","13951F"
"79","670942"
"80","912201"
"81","992816"
"82","878401"
"83","545088"
"84","921249"
"85","905296"
"86","906151"
"87","130298"
"88","921093"
"89","680902"
"90","921917"
"91","902607"
"92","31604H"
"93","945383"
"94","93801Q"
"95","154680"
"96","151860"
"97","777501"
"98","905420"
"99","702259"
"100","132808"
"101","992814"
"102","912669"
"103","546075"
"104","912059"
"105","544616"
"106","921161"
"107","932060"
"108","922817"
"109","902337"
"110","874227"
"111","921431"
"112","901646"
"113","916365"
"114","905342"
"115","905876"
"116","149387"
"117","904272"
"118","905592"
"119","945384"
"120","916427"
"121","906828"
"122","325972"
"123","14737P"
"124","929302"
"125","28341F"
"126","905793"
"127","992765"
"128","543420"
"129","878574"
"130","895784"
"131","131627"
"132","905159"
"133","937525"
"134","874196"
"135","905175"
"136","904818"
"137","740800"
"138","670149"
"139","904332"
"140","923649"
"141","905596"
"142","130502"
"143","951043"
"144","329709"
"145","923937"
"146","325824"
"147","902173"
"148","879628"
"149","992305"
"150","902238"
"151","889831"
"152","54332K"
"153","777267"
"154","543697"
"155","670032"
"156","545725"
"157","264518"
"158","905840"
"159","930857"
"160","905080"
"161","905384"
"162","904480"
"163","749836"
"164","905439"
"165","670778"
"166","902103"
"167","874835"
"168","945385"
"169","951849"
"170","912125"
"171","674693"
"172","904259"
"173","906402"
"174","902338"
"175","912216"
"176","755187"
"177","702577"
"178","923643"
"179","677091"
"180","702108"
"181","545442"
"182","982423"
"183","905147"
"184","993189"
"185","542823"
"186","274794"
"187","905075"
"188","936911"
"189","905491"
"190","937083"
"191","938978"
"192","912199"
"193","944704"
"194","952208"
"195","905343"
"196","902224"
"197","700237"
"198","867705"
"199","680006"
"200","905685"
"201","741643"
"202","902257"
"203","921334"
"204","902242"
"205","998326"
"206","982440"
"207","755790"
"208","28513N"
"209","916098"
"210","916109"
"211","951545"
"212","906838"
"213","32480Q"
"214","921436"
"215","944777"
"216","327747"
"217","31109K"
"218","998014"
"219","542868"
"220","904825"
"221","916125"
"222","912278"
"223","922780"
"224","543944"
"225","904282"
"226","901686"
"227","907737"
"228","130591"
"229","696703"
"230","877775"
"231","945551"
"232","906148"
"233","777011"
"234","677631"
"235","916790"
"236","26393N"
"237","912635"
"238","25744E"
"239","922964"
"240","28179N"
"241","152553"
"242","134467"
"243","912151"
"244","929814"
"245","922301"
"246","902288"
"247","134843"
"248","921807"
"249","902255"
"250","938928"
"251","67751X"
"252","902170"
"253","912273"
"254","877723"
"255","755695"
"256","945251"
"257","916604"
"258","923036"
"259","906182"
"260","905966"
"261","541769"
"262","905479"
"263","325922"
"264","904842"
"265","898530"
"266","912909"
"267","912941"
"268","906839"
"269","683118"
"270","544724"
"271","906196"
"272","683199"
"273","923425"
"274","916091"
"275","883877"
"276","132205"
"277","905024"
"278","906189"
"279","904803"
"280","327998"
"281","154096"
"282","683432"
"283","912455"
"284","921964"
"285","680604"
"286","902245"
"287","154259"
"288","755741"
"289","912060"
"290","904830"
"291","32199R"
"292","932913"
"293","741344"
"294","916407"
"295","905214"
"296","513260"
"297","912420"
"298","152719"
"299","311903"
"300","26276P"
"301","771756"
"302","902198"
"303","687609"
"304","266220"
"305","905755"
"306","944703"
"307","916944"
"308","741521"
"309","357922"
"310","755148"
"311","135448"
"312","905114"
"313","884259"
"314","749321"
"315","921268"
"316","510096"
"317","912157"
"318","905140"
"319","500320"
"320","327352"
"321","902289"
"322","28236L"
"323","883488"
"324","906018"
"325","905115"
"326","901666"
"327","912568"
"328","511339"
"329","921264"
"330","905997"
"331","131844"
"332","719630"
"333","902306"
"334","923709"
"335","500373"
"336","687141"
"337","937102"
"338","903705"
"339","906194"
"340","312385"
"341","906899"
"342","329534"
"343","544665"
"344","992065"
"345","932188"
"346","867375"
"347","912188"
"348","910722"
"349","28226P"
"350","512545"
"351","905039"
"352","50661P"
"353","512628"
"354","951020"
"355","905082"
"356","687197"
"357","510078"
"358","938424"
"359","905016"
"360","683342"
"361","867138"
"362","510110"
"363","689519"
"364","912646"
"365","755980"
"366","545004"
"367","932136"
"368","905994"
"369","873943"
"370","930531"
"371","997198"
"372","904390"
"373","916036"
"374","951503"
"375","772203"
"376","912595"
"377","741123"
"378","311239"
"379","916704"
"380","938076"
"381","77805R"
"382","510209"
"383","902351"
"384","152594"
"385","329097"
"386","50469N"
"387","271980"
"388","916382"
"389","756957"
"390","923731"
"391","951018"
"392","50642F"
"393","944314"
"394","907652"
"395","31196R"
"396","905047"
"397","905801"
"398","906511"
"399","546697"
"400","546814"
"401","54099E"
"402","905706"
"403","324784"
"404","68301M"
"405","327731"
"406","902227"
"407","134784"
"408","51937Q"
"409","694405"
"410","923755"
"411","904383"
"412","905898"
"413","906150"
"414","905139"
"415","904678"
"416","264786"
"417","921600"
"418","696738"
"419","694597"
"420","904408"
"421","912030"
"422","904844"
"423","922494"
"424","912901"
"425","867185"
"426","902175"
"427","905077"
"428","903749"
"429","699628"
"430","992520"
"431","916418"
"432","699943"
"433","945421"
"434","542983"
"435","904837"
"436","902324"
"437","998171"
"438","741410"
"439","923449"
"440","921051"
"441","997471"
"442","729665"
"443","325308"
"444","905190"
"445","916860"
"446","945411"
"447","902190"
"448","951068"
"449","921049"
"450","286558"
"451","902317"
"452","905409"
"453","877084"
"454","541798"
"455","945589"
"456","741497"
"457","905052"
"458","298514"
"459","35781K"
"460","328184"
"461","916901"
"462","545098"
"463","31412T"
"464","906930"
"465","922726"
"466","921456"
"467","905050"
"468","261977"
"469","326038"
"470","921182"
"471","904069"
"472","912369"
"473","923465"
"474","923443"
"475","912142"
"476","699577"
"477","902251"
"478","701667"
"479","921999"
"480","13967C"
"481","777771"
"482","930480"
"483","357049"
"484","951048"
"485","912212"
"486","923464"
"487","867871"
"488","325518"
"489","912138"
"490","993062"
"491","131402"
"492","921831"
"493","905277"
"494","680531"
"495","505733"
"496","902230"
"497","905922"
"498","271688"
"499","14015T"
"500","894876"
"501","905354"
"502","916130"
"503","912481"
"504","546169"
"505","86831C"
"506","905780"
"507","906188"
"508","902354"
"509","36218Q"
"510","27678H"
"511","912134"
"512","544083"
"513","946387"
"514","271662"
